#,label,environment,wifi_band,number_of_users,user_1_location,user_2_location,user_3_location,user_4_location,user_5_location,user_6_location,user_1_activity,user_2_activity,user_3_activity,user_4_activity,user_5_activity,user_6_activity
98,act_1_98,classroom,2.4,1,a,,,,,,sit_down,,,,,
99,act_1_99,classroom,2.4,1,a,,,,,,stand_up,,,,,
100,act_2_1,classroom,2.4,1,,b,,,,,,walk,,,,
101,act_2_2,classroom,2.4,1,,b,,,,,,rotation,,,,
102,act_2_3,classroom,2.4,1,,b,,,,,,jump,,,,
103,act_2_4,classroom,2.4,1,,b,,,,,,wave,,,,
104,act_2_5,classroom,2.4,1,,b,,,,,,lie_down,,,,
105,act_2_6,classroom,2.4,1,,b,,,,,,pick_up,,,,
106,act_2_7,classroom,2.4,1,,b,,,,,,sit_down,,,,
107,act_2_8,classroom,2.4,1,,b,,,,,,stand_up,,,,
108,act_2_9,classroom,2.4,1,,b,,,,,,nothing,,,,
109,act_2_10,classroom,2.4,1,,c,,,,,,walk,,,,
110,act_2_11,classroom,2.4,1,,c,,,,,,rotation,,,,
111,act_2_12,classroom,2.4,1,,c,,,,,,jump,,,,
112,act_2_13,classroom,2.4,1,,c,,,,,,wave,,,,
113,act_2_14,classroom,2.4,1,,c,,,,,,lie_down,,,,
114,act_2_15,classroom,2.4,1,,c,,,,,,pick_up,,,,
115,act_2_16,classroom,2.4,1,,c,,,,,,sit_down,,,,
116,act_2_17,classroom,2.4,1,,c,,,,,,stand_up,,,,
117,act_2_18,classroom,2.4,1,,c,,,,,,nothing,,,,
118,act_2_19,classroom,2.4,1,,d,,,,,,walk,,,,
119,act_2_20,classroom,2.4,1,,d,,,,,,rotation,,,,
120,act_2_21,classroom,2.4,1,,d,,,,,,jump,,,,
121,act_2_22,classroom,2.4,1,,d,,,,,,wave,,,,
122,act_2_23,classroom,2.4,1,,d,,,,,,lie_down,,,,
123,act_2_24,classroom,2.4,1,,d,,,,,,pick_up,,,,
124,act_2_25,classroom,2.4,1,,d,,,,,,sit_down,,,,
125,act_2_26,classroom,2.4,1,,d,,,,,,stand_up,,,,
126,act_2_27,classroom,2.4,1,,d,,,,,,nothing,,,,
127,act_2_28,classroom,2.4,1,,e,,,,,,walk,,,,
128,act_2_29,classroom,2.4,1,,e,,,,,,rotation,,,,
129,act_2_30,classroom,2.4,1,,e,,,,,,jump,,,,
130,act_2_31,classroom,2.4,1,,e,,,,,,wave,,,,
131,act_2_32,classroom,2.4,1,,e,,,,,,lie_down,,,,
132,act_2_33,classroom,2.4,1,,e,,,,,,pick_up,,,,
133,act_2_34,classroom,2.4,1,,e,,,,,,sit_down,,,,
134,act_2_35,classroom,2.4,1,,e,,,,,,stand_up,,,,
135,act_2_36,classroom,2.4,1,,e,,,,,,nothing,,,,
136,act_2_37,classroom,2.4,1,,a,,,,,,walk,,,,
137,act_2_38,classroom,2.4,1,,a,,,,,,rotation,,,,
138,act_2_39,classroom,2.4,1,,a,,,,,,jump,,,,
139,act_2_40,classroom,2.4,1,,a,,,,,,wave,,,,
140,act_2_41,classroom,2.4,1,,a,,,,,,lie_down,,,,
141,act_2_42,classroom,2.4,1,,a,,,,,,pick_up,,,,
142,act_2_43,classroom,2.4,1,,a,,,,,,sit_down,,,,
143,act_2_44,classroom,2.4,1,,a,,,,,,stand_up,,,,
144,act_2_45,classroom,2.4,1,,a,,,,,,nothing,,,,
145,act_2_46,classroom,2.4,1,,b,,,,,,nothing,,,,
146,act_2_47,classroom,2.4,1,,b,,,,,,walk,,,,
147,act_2_48,classroom,2.4,1,,b,,,,,,rotation,,,,
148,act_2_49,classroom,2.4,1,,b,,,,,,jump,,,,
149,act_2_50,classroom,2.4,1,,b,,,,,,wave,,,,
150,act_2_51,classroom,2.4,1,,b,,,,,,lie_down,,,,
151,act_2_52,classroom,2.4,1,,b,,,,,,pick_up,,,,
152,act_2_53,classroom,2.4,1,,b,,,,,,sit_down,,,,
153,act_2_54,classroom,2.4,1,,b,,,,,,stand_up,,,,
154,act_2_55,classroom,2.4,1,,c,,,,,,nothing,,,,
155,act_2_56,classroom,2.4,1,,c,,,,,,walk,,,,
156,act_2_57,classroom,2.4,1,,c,,,,,,rotation,,,,
157,act_2_58,classroom,2.4,1,,c,,,,,,jump,,,,
158,act_2_59,classroom,2.4,1,,c,,,,,,wave,,,,
159,act_2_60,classroom,2.4,1,,c,,,,,,lie_down,,,,
160,act_2_61,classroom,2.4,1,,c,,,,,,pick_up,,,,
161,act_2_62,classroom,2.4,1,,c,,,,,,sit_down,,,,
162,act_2_63,classroom,2.4,1,,c,,,,,,stand_up,,,,
163,act_2_64,classroom,2.4,1,,d,,,,,,nothing,,,,
164,act_2_65,classroom,2.4,1,,d,,,,,,walk,,,,
165,act_2_66,classroom,2.4,1,,d,,,,,,rotation,,,,
166,act_2_67,classroom,2.4,1,,d,,,,,,jump,,,,
167,act_2_68,classroom,2.4,1,,d,,,,,,wave,,,,
168,act_2_69,classroom,2.4,1,,d,,,,,,lie_down,,,,
169,act_2_70,classroom,2.4,1,,d,,,,,,pick_up,,,,
170,act_2_71,classroom,2.4,1,,d,,,,,,sit_down,,,,
171,act_2_72,classroom,2.4,1,,d,,,,,,stand_up,,,,
172,act_2_73,classroom,2.4,1,,e,,,,,,nothing,,,,
173,act_2_74,classroom,2.4,1,,e,,,,,,walk,,,,
174,act_2_75,classroom,2.4,1,,e,,,,,,rotation,,,,
175,act_2_76,classroom,2.4,1,,e,,,,,,jump,,,,
176,act_2_77,classroom,2.4,1,,e,,,,,,wave,,,,
177,act_2_78,classroom,2.4,1,,e,,,,,,lie_down,,,,
178,act_2_79,classroom,2.4,1,,e,,,,,,pick_up,,,,
179,act_2_80,classroom,2.4,1,,e,,,,,,sit_down,,,,
180,act_2_81,classroom,2.4,1,,e,,,,,,stand_up,,,,
181,act_2_82,classroom,2.4,1,,a,,,,,,nothing,,,,
182,act_2_83,classroom,2.4,1,,a,,,,,,walk,,,,
183,act_2_84,classroom,2.4,1,,a,,,,,,rotation,,,,
184,act_2_85,classroom,2.4,1,,a,,,,,,jump,,,,
185,act_2_86,classroom,2.4,1,,a,,,,,,wave,,,,
186,act_2_87,classroom,2.4,1,,a,,,,,,lie_down,,,,
187,act_2_88,classroom,2.4,1,,a,,,,,,pick_up,,,,
188,act_2_89,classroom,2.4,1,,a,,,,,,sit_down,,,,
189,act_2_90,classroom,2.4,1,,a,,,,,,stand_up,,,,
190,act_2_91,classroom,2.4,1,,b,,,,,,nothing,,,,
191,act_2_92,classroom,2.4,1,,b,,,,,,walk,,,,
192,act_2_93,classroom,2.4,1,,b,,,,,,rotation,,,,
193,act_2_94,classroom,2.4,1,,b,,,,,,jump,,,,
194,act_2_95,classroom,2.4,1,,b,,,,,,wave,,,,
195,act_2_96,classroom,2.4,1,,b,,,,,,lie_down,,,,
196,act_2_97,classroom,2.4,1,,b,,,,,,pick_up,,,,
197,act_2_98,classroom,2.4,1,,b,,,,,,sit_down,,,,
198,act_2_99,classroom,2.4,1,,b,,,,,,stand_up,,,,
199,act_3_1,classroom,2.4,1,,,c,,,,,,rotation,,,
200,act_3_2,classroom,2.4,1,,,c,,,,,,jump,,,
201,act_3_3,classroom,2.4,1,,,c,,,,,,wave,,,
202,act_3_4,classroom,2.4,1,,,c,,,,,,lie_down,,,
203,act_3_5,classroom,2.4,1,,,c,,,,,,pick_up,,,
204,act_3_6,classroom,2.4,1,,,c,,,,,,sit_down,,,
205,act_3_7,classroom,2.4,1,,,c,,,,,,stand_up,,,
206,act_3_8,classroom,2.4,1,,,c,,,,,,nothing,,,
207,act_3_9,classroom,2.4,1,,,c,,,,,,walk,,,
208,act_3_10,classroom,2.4,1,,,d,,,,,,rotation,,,
209,act_3_11,classroom,2.4,1,,,d,,,,,,jump,,,
210,act_3_12,classroom,2.4,1,,,d,,,,,,wave,,,
211,act_3_13,classroom,2.4,1,,,d,,,,,,lie_down,,,
212,act_3_14,classroom,2.4,1,,,d,,,,,,pick_up,,,
213,act_3_15,classroom,2.4,1,,,d,,,,,,sit_down,,,
214,act_3_16,classroom,2.4,1,,,d,,,,,,stand_up,,,
215,act_3_17,classroom,2.4,1,,,d,,,,,,nothing,,,
216,act_3_18,classroom,2.4,1,,,d,,,,,,walk,,,
217,act_3_19,classroom,2.4,1,,,e,,,,,,rotation,,,
218,act_3_20,classroom,2.4,1,,,e,,,,,,jump,,,
219,act_3_21,classroom,2.4,1,,,e,,,,,,wave,,,
220,act_3_22,classroom,2.4,1,,,e,,,,,,lie_down,,,
221,act_3_23,classroom,2.4,1,,,e,,,,,,pick_up,,,
222,act_3_24,classroom,2.4,1,,,e,,,,,,sit_down,,,
223,act_3_25,classroom,2.4,1,,,e,,,,,,stand_up,,,
224,act_3_26,classroom,2.4,1,,,e,,,,,,nothing,,,
225,act_3_27,classroom,2.4,1,,,e,,,,,,walk,,,
226,act_3_28,classroom,2.4,1,,,a,,,,,,rotation,,,
227,act_3_29,classroom,2.4,1,,,a,,,,,,jump,,,
228,act_3_30,classroom,2.4,1,,,a,,,,,,wave,,,
229,act_3_31,classroom,2.4,1,,,a,,,,,,lie_down,,,
230,act_3_32,classroom,2.4,1,,,a,,,,,,pick_up,,,
231,act_3_33,classroom,2.4,1,,,a,,,,,,sit_down,,,
232,act_3_34,classroom,2.4,1,,,a,,,,,,stand_up,,,
233,act_3_35,classroom,2.4,1,,,a,,,,,,nothing,,,
234,act_3_36,classroom,2.4,1,,,a,,,,,,walk,,,
235,act_3_37,classroom,2.4,1,,,b,,,,,,rotation,,,
236,act_3_38,classroom,2.4,1,,,b,,,,,,jump,,,
237,act_3_39,classroom,2.4,1,,,b,,,,,,wave,,,
238,act_3_40,classroom,2.4,1,,,b,,,,,,lie_down,,,
239,act_3_41,classroom,2.4,1,,,b,,,,,,pick_up,,,
240,act_3_42,classroom,2.4,1,,,b,,,,,,sit_down,,,
241,act_3_43,classroom,2.4,1,,,b,,,,,,stand_up,,,
242,act_3_44,classroom,2.4,1,,,b,,,,,,nothing,,,
243,act_3_45,classroom,2.4,1,,,b,,,,,,walk,,,
244,act_3_46,classroom,2.4,1,,,c,,,,,,walk,,,
245,act_3_47,classroom,2.4,1,,,c,,,,,,rotation,,,
246,act_3_48,classroom,2.4,1,,,c,,,,,,jump,,,
247,act_3_49,classroom,2.4,1,,,c,,,,,,wave,,,
248,act_3_50,classroom,2.4,1,,,c,,,,,,lie_down,,,
249,act_3_51,classroom,2.4,1,,,c,,,,,,pick_up,,,
250,act_3_52,classroom,2.4,1,,,c,,,,,,sit_down,,,
251,act_3_53,classroom,2.4,1,,,c,,,,,,stand_up,,,
252,act_3_54,classroom,2.4,1,,,c,,,,,,nothing,,,
253,act_3_55,classroom,2.4,1,,,d,,,,,,walk,,,
254,act_3_56,classroom,2.4,1,,,d,,,,,,rotation,,,
255,act_3_57,classroom,2.4,1,,,d,,,,,,jump,,,
256,act_3_58,classroom,2.4,1,,,d,,,,,,wave,,,
257,act_3_59,classroom,2.4,1,,,d,,,,,,lie_down,,,
258,act_3_60,classroom,2.4,1,,,d,,,,,,pick_up,,,
259,act_3_61,classroom,2.4,1,,,d,,,,,,sit_down,,,
260,act_3_62,classroom,2.4,1,,,d,,,,,,stand_up,,,
261,act_3_63,classroom,2.4,1,,,d,,,,,,nothing,,,
262,act_3_64,classroom,2.4,1,,,e,,,,,,nothing,,,
263,act_3_65,classroom,2.4,1,,,e,,,,,,walk,,,
264,act_3_66,classroom,2.4,1,,,e,,,,,,rotation,,,
265,act_3_67,classroom,2.4,1,,,e,,,,,,jump,,,
266,act_3_68,classroom,2.4,1,,,e,,,,,,wave,,,
267,act_3_69,classroom,2.4,1,,,e,,,,,,lie_down,,,
268,act_3_70,classroom,2.4,1,,,e,,,,,,pick_up,,,
269,act_3_71,classroom,2.4,1,,,e,,,,,,sit_down,,,
270,act_3_72,classroom,2.4,1,,,e,,,,,,stand_up,,,
271,act_3_73,classroom,2.4,1,,,a,,,,,,nothing,,,
272,act_3_74,classroom,2.4,1,,,a,,,,,,walk,,,
273,act_3_75,classroom,2.4,1,,,a,,,,,,rotation,,,
274,act_3_76,classroom,2.4,1,,,a,,,,,,jump,,,
275,act_3_77,classroom,2.4,1,,,a,,,,,,wave,,,
276,act_3_78,classroom,2.4,1,,,a,,,,,,lie_down,,,
277,act_3_79,classroom,2.4,1,,,a,,,,,,pick_up,,,
278,act_3_80,classroom,2.4,1,,,a,,,,,,sit_down,,,
279,act_3_81,classroom,2.4,1,,,a,,,,,,stand_up,,,
280,act_3_82,classroom,2.4,1,,,b,,,,,,nothing,,,
281,act_3_83,classroom,2.4,1,,,b,,,,,,walk,,,
282,act_3_84,classroom,2.4,1,,,b,,,,,,rotation,,,
283,act_3_85,classroom,2.4,1,,,b,,,,,,jump,,,
284,act_3_86,classroom,2.4,1,,,b,,,,,,wave,,,
285,act_3_87,classroom,2.4,1,,,b,,,,,,lie_down,,,
286,act_3_88,classroom,2.4,1,,,b,,,,,,pick_up,,,
287,act_3_89,classroom,2.4,1,,,b,,,,,,sit_down,,,
288,act_3_90,classroom,2.4,1,,,b,,,,,,stand_up,,,
289,act_3_91,classroom,2.4,1,,,c,,,,,,nothing,,,
290,act_3_92,classroom,2.4,1,,,c,,,,,,walk,,,
291,act_3_93,classroom,2.4,1,,,c,,,,,,rotation,,,
292,act_3_94,classroom,2.4,1,,,c,,,,,,jump,,,
293,act_3_95,classroom,2.4,1,,,c,,,,,,wave,,,
294,act_3_96,classroom,2.4,1,,,c,,,,,,lie_down,,,
295,act_3_97,classroom,2.4,1,,,c,,,,,,pick_up,,,
296,act_3_98,classroom,2.4,1,,,c,,,,,,sit_down,,,
297,act_3_99,classroom,2.4,1,,,c,,,,,,stand_up,,,
298,act_4_1,classroom,2.4,1,,,,d,,,,,,jump,,
299,act_4_2,classroom,2.4,1,,,,d,,,,,,wave,,
300,act_4_3,classroom,2.4,1,,,,d,,,,,,lie_down,,
301,act_4_4,classroom,2.4,1,,,,d,,,,,,pick_up,,
302,act_4_5,classroom,2.4,1,,,,d,,,,,,sit_down,,
303,act_4_6,classroom,2.4,1,,,,d,,,,,,stand_up,,
304,act_4_7,classroom,2.4,1,,,,d,,,,,,nothing,,
305,act_4_8,classroom,2.4,1,,,,d,,,,,,walk,,
306,act_4_9,classroom,2.4,1,,,,d,,,,,,rotation,,
307,act_4_10,classroom,2.4,1,,,,e,,,,,,jump,,
308,act_4_11,classroom,2.4,1,,,,e,,,,,,wave,,
309,act_4_12,classroom,2.4,1,,,,e,,,,,,lie_down,,
310,act_4_13,classroom,2.4,1,,,,e,,,,,,pick_up,,
311,act_4_14,classroom,2.4,1,,,,e,,,,,,sit_down,,
312,act_4_15,classroom,2.4,1,,,,e,,,,,,stand_up,,
313,act_4_16,classroom,2.4,1,,,,e,,,,,,nothing,,
314,act_4_17,classroom,2.4,1,,,,e,,,,,,walk,,
315,act_4_18,classroom,2.4,1,,,,e,,,,,,rotation,,
316,act_4_19,classroom,2.4,1,,,,a,,,,,,jump,,
317,act_4_20,classroom,2.4,1,,,,a,,,,,,wave,,
318,act_4_21,classroom,2.4,1,,,,a,,,,,,lie_down,,
319,act_4_22,classroom,2.4,1,,,,a,,,,,,pick_up,,
320,act_4_23,classroom,2.4,1,,,,a,,,,,,sit_down,,
321,act_4_24,classroom,2.4,1,,,,a,,,,,,stand_up,,
322,act_4_25,classroom,2.4,1,,,,a,,,,,,nothing,,
323,act_4_26,classroom,2.4,1,,,,a,,,,,,walk,,
324,act_4_27,classroom,2.4,1,,,,a,,,,,,rotation,,
325,act_4_28,classroom,2.4,1,,,,b,,,,,,jump,,
326,act_4_29,classroom,2.4,1,,,,b,,,,,,wave,,
327,act_4_30,classroom,2.4,1,,,,b,,,,,,lie_down,,
328,act_4_31,classroom,2.4,1,,,,b,,,,,,pick_up,,
329,act_4_32,classroom,2.4,1,,,,b,,,,,,sit_down,,
330,act_4_33,classroom,2.4,1,,,,b,,,,,,stand_up,,
331,act_4_34,classroom,2.4,1,,,,b,,,,,,nothing,,
332,act_4_35,classroom,2.4,1,,,,b,,,,,,walk,,
333,act_4_36,classroom,2.4,1,,,,b,,,,,,rotation,,
334,act_4_37,classroom,2.4,1,,,,c,,,,,,jump,,
335,act_4_38,classroom,2.4,1,,,,c,,,,,,wave,,
336,act_4_39,classroom,2.4,1,,,,c,,,,,,lie_down,,
337,act_4_40,classroom,2.4,1,,,,c,,,,,,pick_up,,
338,act_4_41,classroom,2.4,1,,,,c,,,,,,sit_down,,
339,act_4_42,classroom,2.4,1,,,,c,,,,,,stand_up,,
340,act_4_43,classroom,2.4,1,,,,c,,,,,,nothing,,
341,act_4_44,classroom,2.4,1,,,,c,,,,,,walk,,
342,act_4_45,classroom,2.4,1,,,,c,,,,,,rotation,,
343,act_4_46,classroom,2.4,1,,,,d,,,,,,walk,,
344,act_4_47,classroom,2.4,1,,,,d,,,,,,rotation,,
345,act_4_48,classroom,2.4,1,,,,d,,,,,,jump,,
346,act_4_49,classroom,2.4,1,,,,d,,,,,,wave,,
347,act_4_50,classroom,2.4,1,,,,d,,,,,,lie_down,,
348,act_4_51,classroom,2.4,1,,,,d,,,,,,pick_up,,
349,act_4_52,classroom,2.4,1,,,,d,,,,,,sit_down,,
350,act_4_53,classroom,2.4,1,,,,d,,,,,,stand_up,,
351,act_4_54,classroom,2.4,1,,,,d,,,,,,nothing,,
352,act_4_55,classroom,2.4,1,,,,e,,,,,,walk,,
353,act_4_56,classroom,2.4,1,,,,e,,,,,,rotation,,
354,act_4_57,classroom,2.4,1,,,,e,,,,,,jump,,
355,act_4_58,classroom,2.4,1,,,,e,,,,,,wave,,
356,act_4_59,classroom,2.4,1,,,,e,,,,,,lie_down,,
357,act_4_60,classroom,2.4,1,,,,e,,,,,,pick_up,,
358,act_4_61,classroom,2.4,1,,,,e,,,,,,sit_down,,
359,act_4_62,classroom,2.4,1,,,,e,,,,,,stand_up,,
360,act_4_63,classroom,2.4,1,,,,e,,,,,,nothing,,
361,act_4_64,classroom,2.4,1,,,,a,,,,,,walk,,
362,act_4_65,classroom,2.4,1,,,,a,,,,,,rotation,,
363,act_4_66,classroom,2.4,1,,,,a,,,,,,jump,,
364,act_4_67,classroom,2.4,1,,,,a,,,,,,wave,,
365,act_4_68,classroom,2.4,1,,,,a,,,,,,lie_down,,
366,act_4_69,classroom,2.4,1,,,,a,,,,,,pick_up,,
367,act_4_70,classroom,2.4,1,,,,a,,,,,,sit_down,,
368,act_4_71,classroom,2.4,1,,,,a,,,,,,stand_up,,
369,act_4_72,classroom,2.4,1,,,,a,,,,,,nothing,,
370,act_4_73,classroom,2.4,1,,,,b,,,,,,walk,,
371,act_4_74,classroom,2.4,1,,,,b,,,,,,rotation,,
372,act_4_75,classroom,2.4,1,,,,b,,,,,,jump,,
373,act_4_76,classroom,2.4,1,,,,b,,,,,,wave,,
374,act_4_77,classroom,2.4,1,,,,b,,,,,,lie_down,,
375,act_4_78,classroom,2.4,1,,,,b,,,,,,pick_up,,
376,act_4_79,classroom,2.4,1,,,,b,,,,,,sit_down,,
377,act_4_80,classroom,2.4,1,,,,b,,,,,,stand_up,,
378,act_4_81,classroom,2.4,1,,,,b,,,,,,nothing,,
379,act_4_82,classroom,2.4,1,,,,c,,,,,,nothing,,
380,act_4_83,classroom,2.4,1,,,,c,,,,,,walk,,
381,act_4_84,classroom,2.4,1,,,,c,,,,,,rotation,,
382,act_4_85,classroom,2.4,1,,,,c,,,,,,jump,,
383,act_4_86,classroom,2.4,1,,,,c,,,,,,wave,,
384,act_4_87,classroom,2.4,1,,,,c,,,,,,lie_down,,
385,act_4_88,classroom,2.4,1,,,,c,,,,,,pick_up,,
386,act_4_89,classroom,2.4,1,,,,c,,,,,,sit_down,,
387,act_4_90,classroom,2.4,1,,,,c,,,,,,stand_up,,
388,act_4_91,classroom,2.4,1,,,,d,,,,,,nothing,,
389,act_4_92,classroom,2.4,1,,,,d,,,,,,walk,,
390,act_4_93,classroom,2.4,1,,,,d,,,,,,rotation,,
391,act_4_94,classroom,2.4,1,,,,d,,,,,,jump,,
392,act_4_95,classroom,2.4,1,,,,d,,,,,,wave,,
393,act_4_96,classroom,2.4,1,,,,d,,,,,,lie_down,,
394,act_4_97,classroom,2.4,1,,,,d,,,,,,pick_up,,
395,act_4_98,classroom,2.4,1,,,,d,,,,,,sit_down,,
396,act_4_99,classroom,2.4,1,,,,d,,,,,,stand_up,,
397,act_5_1,classroom,2.4,1,,,,,e,,,,,,wave,
398,act_5_2,classroom,2.4,1,,,,,e,,,,,,lie_down,
399,act_5_3,classroom,2.4,1,,,,,e,,,,,,pick_up,
400,act_5_4,classroom,2.4,1,,,,,e,,,,,,sit_down,
401,act_5_5,classroom,2.4,1,,,,,e,,,,,,stand_up,
402,act_5_6,classroom,2.4,1,,,,,e,,,,,,nothing,
403,act_5_7,classroom,2.4,1,,,,,e,,,,,,walk,
404,act_5_8,classroom,2.4,1,,,,,e,,,,,,rotation,
